Year,Film,Nominees,url,production
2015,When Marnie Was There,Hiromasa Yonebayashi & Yoshiaki Nishimura,https://www.imdb.com/title/tt3398268/,Studio Ghibli
2016,Zootopia,"Byron Howard, Rich Moore & Clark Spencer",https://www.imdb.com/title/tt2948356/,Walt Disney Animation Studios
2016,Kubo and the Two Strings,Travis Knight & Arianne Sutner,https://www.imdb.com/title/tt4302938/,Focus Features
2016,Moana,"John Musker, Ron Clements & Osnat Shurer",https://www.imdb.com/title/tt3521164/,Walt Disney Animation Studios
2016,My Life as a Zucchini,Claude Barras & Max Karli,https://www.imdb.com/title/tt2321405/,Blue Spirit
2016,The Red Turtle,Michaël Dudok de Wit & Toshio Suzuki,https://www.imdb.com/title/tt3666024/,Studio Ghibli
2017,Coco,Lee Unkrich & Darla K. Anderson,https://www.imdb.com/title/tt2380307/,Pixar Animation Studios
2017,The Boss Baby,Tom McGrath & Ramsey Naito,https://www.imdb.com/title/tt6932874/,DreamWorks Animation
2017,The Breadwinner,Nora Twomey & Anthony Leo,https://www.imdb.com/title/tt3901826/,Cartoon Saloon
2017,Ferdinand,Carlos Saldanha & Lori Forte,https://www.imdb.com/title/tt3411444/,Twentieth Century Fox Animation
2017,Loving Vincent,"Dorota Kobiela, Hugh Welchman & Ivan Mactaggart",https://www.imdb.com/title/tt3262342/,BreakThru Productions
2018,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord & Christopher Miller",https://www.imdb.com/title/tt4633694/,Sony Pictures Animation
2018,Incredibles 2,"Brad Bird, John Walker & Nicole Paradis Grindle",https://www.imdb.com/title/tt3606756/,Pixar Animation Studios
2018,Isle of Dogs,"Wes Anderson, Scott Rudin, Steven Rales & Jeremy Dawson",https://www.imdb.com/title/tt5104604/,Indian Paintbrush
2018,Mirai,Mamoru Hosoda & Yuichiro Saito,https://www.imdb.com/title/tt6900448/,Studio Chizu
2018,Ralph Breaks the Internet,"Rich Moore, Phil Johnston & Clark Spencer",https://www.imdb.com/title/tt5848272/,Walt Disney Animation Studios
2019,Toy Story 4,"Josh Cooley, Mark Nielsen & Jonas Rivera",https://www.imdb.com/title/tt1979376/,Pixar Animation Studios
2019,How to Train Your Dragon: The Hidden World,"Dean DeBlois, Bradford Lewis & Bonnie Arnold",https://www.imdb.com/title/tt2386490/,DreamWorks Animation
2019,I Lost My Body,Jérémy Clapin & Marc du Pontavice,https://www.imdb.com/title/tt9806192/,Xilam
2019,Klaus,"Sergio Pablos, Jinko Gotoh & Marisa Román",https://www.imdb.com/title/tt4729430/,The SPA Studios
2019,Missing Link,"Chris Butler, Arianne Sutner & Travis Knight",https://www.imdb.com/title/tt6348138/,Laika Entertainment
2020,Soul,Pete Docter & Dana Murray,https://www.imdb.com/title/tt2948372/,Pixar Animation Studios
2020,Onward,Dan Scanlon & Kori Rae,https://www.imdb.com/title/tt7146812/,Pixar Animation Studios
2020,Over the Moon,"Glen Keane, Gennie Rim & Peilin Chou",https://www.imdb.com/title/tt7488208/,"Netflix Animation, Pearl Studio"
2020,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher & Paul Kewley",https://www.imdb.com/title/tt6193408/,Aardman Animations
2020,Wolfwalkers,"Tomm Moore, Ross Stewart, Paul Young & Stéphan Roelants",https://www.imdb.com/title/tt5198068/,Cartoon Saloon
2021,Encanto,"Jared Bush, Byron Howard, Yvett Merino & Clark Spencer",https://www.imdb.com/title/tt2953050/,Walt Disney Animation Studios
2021,Flee,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen & Charlotte De La Gournerie",https://www.imdb.com/title/tt8430054/,Sun Creature Studio
2021,Luca,Enrico Casarosa & Andrea Warren,https://www.imdb.com/title/tt12801262/,Pixar Animation Studios
2021,The Mitchells vs. the Machines,"Mike Rianda, Phil Lord, Christopher Miller & Kurt Albrecht",https://www.imdb.com/title/tt7979580/,Sony Pictures Animation
2021,Raya and the Last Dragon,"Don Hall, Carlos López Estrada, Osnat Shurer & Peter Del Vecho",https://www.imdb.com/title/tt5109280/,Walt Disney Animation Studios
